% Twitter Data
@RELATION tweets

@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE text STRING
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
0,124,pro_romney,0,'frankthedoorman republican call obama food stamp presid romney want dont care starv presid',1,2,6,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,pro_romney,0,'romneyrespons shell shock team obama whine play blame game debat loss tcot',3,0,2,1,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,49,pro_obama,0,'fuck romney commerci hi fuckin plan',1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,118,pro_obama,0,'dccc romney myth 6 obama rais tax middl class truth obama lower tax middl class famili',1,0,3,1,2,8,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,77,pro_romney,0,'imadancer821 oscar winner duval host romney fundrais via breitbartnew',0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,126,pro_obama,0,'go need everyon vote obama becaus romney get offic becom striper want that!',0,4,10,1,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,128,pro_obama,0,'ayeitstaylor_ mitt romney said borrow money parent colleg bitch cant even get 5 mom make',1,3,6,2,0,5,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,111,pro_romney,0,'tcot evangel mitt complet 1st romney versu obama debat case miss want reliv',1,2,3,1,2,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,120,pro_romney,0,'mittism cultur make differ natur resourc geographi peopl believ valu romney',0,1,3,1,1,5,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0
0,88,pro_obama,0,'realli hope nbcsnl amp sethmeyers21 realiz veri much miss fredarimisen obama',1,2,3,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,135,pro_obama,0,'romney threaten vladimir putin though still fight cold war influenc way mani neocon advisor',1,1,5,1,2,4,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,110,pro_obama,0,'michaelscher romney obama ha sign one new free trade agreement photo obama sign 3',0,0,4,1,2,3,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
0,37,pro_romney,0,'whi obama lose three debat',1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,130,pro_obama,0,'white ladi work start convers well obama polit correct ass said mean presid obama',0,3,5,2,1,4,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
0,47,pro_romney,0,'imdannytosh know dumbass name obama',0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,28,pro_obama,0,'obama vote2012 polit pic',0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,pro_obama,0,'sam_osorio obamacampaignin3word better romney',0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,132,pro_romney,0,'heard newest obama debat debacl excus chicago crowd davidaxelrod etc last word amp misguid one lol',3,1,3,4,3,5,0,2,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0
1,107,pro_obama,0,'thenewd romney profit abort republican amp support despit thi dont ever bit',0,2,3,1,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,83,pro_romney,0,'mauric jone drew matt fort commerci obama neg fantasypoint',1,0,2,1,1,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,129,pro_obama,0,'rodneysuccess band make danc food stamp make twerk mitt romney presid hoe gone work lmao ! ! !',0,0,6,3,0,7,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,138,pro_obama,0,'romney diss spain debat last week spanish romney dishonest evas clueless foreign affair puppet',5,0,3,3,5,4,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,119,pro_obama,0,'nathanhale1775 soldier support romney obama 40 much romney warmong meme p2 tlot tcot obama2012',0,0,1,1,0,3,0,3,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0
1,127,pro_obama,0,'factsaboutmitt romney said america safe place today yet 2011 fbi report violent crime fifth straight year',2,0,2,1,4,6,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0
0,128,pro_obama,0,'whokr romney becom presid gonna start read term amp condit might fuck around amp',1,2,8,3,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,39,pro_romney,0,'would marri mitt romney hunk !',0,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,pro_romney,0,'bitch say vote obama buz look like ban fight bitch u better vote keep ya food stamp',2,5,5,1,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91,pro_romney,0,'princeton economist harvey rosen obama campaign misrepres work romney tax plan',0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,pro_obama,0,'lolgop presid obama talk educ children mitt romney talk us children',0,2,7,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,119,pro_romney,0,'romney pull four point lead obama among like voter new pew poll voter pay closer attent ye !',0,1,4,0,3,6,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,56,pro_romney,0,'greatest screen shot ever politico ignor romney surg',0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,62,pro_obama,0,'oscar grouch obama knock via thedailycal rss',2,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,112,pro_romney,0,'michellemalkin alternater mt dcseth obama ignor aid debat prep left stage think beat romney',0,1,5,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,131,pro_romney,0,'grow paradigm shift voter percept obama special obama nonperform result poor leader !',1,0,1,4,3,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,132,pro_obama,0,'fillwerral heard presid obama mitt romney alot talk nobodi spoke problem bag chip 60',1,0,5,2,0,6,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2,72,pro_romney,1,'wow veri emot billhobb video clip amaz stori romney today',0,0,0,0,2,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,129,pro_romney,0,'mitt romney prophet would kind would turn wine water tell peopl get welfar',0,1,7,3,0,6,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1,75,pro_romney,0,'billionair ceo threaten fire employe obama win via thinkprogress',0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,116,pro_obama,0,'kyleraccio obama still turn thi around take pressur get peopl vote romney yet',0,1,6,1,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,131,pro_obama,0,'clapp_datass band make danc food stamp make twerk mitt romney win presid hoe gone work',0,1,9,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128,pro_obama,0,'followmeobama mitt romney probabl watch hiphopaward think aint none nigga gonna vote cut',0,2,7,2,0,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,130,pro_romney,0,'jess_nnz blackrepublican im liber consid latino whatev mean thi latino support romney latinosforromney',0,2,3,2,0,3,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,125,pro_romney,0,'obama deceiv good peopl america gravest sin presid commit gift hi presid',2,0,4,5,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,pro_obama,0,'feel like romney type guy save old use toilet paper',0,1,3,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,99,pro_obama,0,'dont hate rich peopl dont respect men like romney theyr worth respect vote',1,2,5,2,1,4,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,111,pro_romney,0,'menwhodin adamrichman ye fine amp dandi abraham lincoln would appal disast obama creat',2,0,4,1,2,2,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,43,pro_romney,0,'nationalfearday romney get elect lol',0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,125,pro_obama,0,'barackobama spell bastard stand flat foot amp tell lie amp amp romney 2 kiss amp amp !',2,3,6,3,1,6,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,107,pro_romney,0,'chasepolit casino magnat steve wynn busi terrifi obama may next read teaparti tpp',0,1,4,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,98,pro_romney,0,'stephenathom somewher right obama thought snappi comeback mitt romney oh gosh',0,0,1,1,1,2,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
0,40,pro_obama,0,'mother slain navi seal scold romney',0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,139,pro_obama,0,'buzzbissing could save time spent write pro romney column simpli say make amp wish keep',0,4,10,2,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,132,pro_romney,0,'even gotten rais thi year lifestyl ha alter becaus price ga food screw obama !',0,1,6,4,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1,114,pro_obama,0,'michaelskolnik fact mitt romney ha said want see roe v wade overturn deni women right choos',1,1,7,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,85,pro_romney,0,'drscott_atlanta u heard steve wynn give obama beat awesom ? ? ? ! ! ! !',0,1,3,1,1,1,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,75,pro_romney,0,'secupp obama ignor warn act get elect shame mr presid',1,1,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,128,pro_obama,0,'ayeitstaylor_ mitt romney said borrow money parent colleg bitch cant even get 5 mom make',1,3,6,2,0,5,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,131,pro_romney,0,'newswatchcanada housejudiciarychair obama fire campaign staffer voter fraud caught video explain vote tw',1,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,125,pro_obama,0,'headlessgang romney becom presid gone start read term amp condit might fuck around amp',1,2,6,2,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,108,pro_obama,0,'lolgop romney believ peopl dont die becaus theyr uninsur romneycar wa coloss wast time',3,0,4,1,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,79,pro_obama,0,'actuallynph im vote presid obama becaus believ equal foral',0,1,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,88,pro_romney,0,'keithjonesjr lmao romney cup thi 7 eleven hope cup translat ballot',0,1,2,2,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
0,76,pro_romney,0,'kolr10kozl farmer rancher romney coalit launch sgf mo ozark',0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,138,pro_romney,0,'kinda disappoint samuel jackson vote isnt race whi shud insult black femal celebr co support romney ?',2,2,5,1,2,3,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,79,pro_obama,0,'actuallynph im vote presid obama becaus believ equal foral',0,1,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,pro_romney,0,'toddstarn obama still cluck big bird tonight',0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,115,pro_romney,0,'ingrahamangl biden said someth total untru romney brief press conf wa hour steven death report',2,0,3,0,2,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,102,pro_obama,0,'isnt romney rais tax middl class peool yeah think befor say hate obama ?',1,3,5,0,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,101,pro_obama,0,'new name presid isnt gonna fix economi go joe biden let see second term obama2012',0,1,5,3,2,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,107,pro_obama,0,'cnn report democrat biden obama 0 2 debat vote count obama2012',0,0,6,3,1,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,121,pro_obama,0,'yella_princelom romney becom presid gon start read term amp condit might fuck around',1,2,7,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,131,pro_romney,0,'themindofja tbh sinc obama nobel peac prize stop rate cannot think singl tangibl reason whi obama wo',0,3,6,2,2,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,89,pro_romney,0,'obama biden hardcor hater whose self esteem far exce actual abil',1,0,2,1,2,4,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,97,pro_romney,0,'take figdrewton besid glee lindsay lohan declar support mitt romney',0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,pro_obama,0,'abigailrsmith olivia like obama',0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,110,pro_obama,0,'trinacuppett biden doubl play onli made paul ryan look like clueless marionett trounc romney',1,2,4,1,2,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,115,pro_obama,0,'jannnienhau saltwithsavor absolut perhap twitter support fellow romney support would start',0,0,2,2,0,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,57,pro_obama,0,'reason 3 elect obama woodi pirtl 30 reason',0,0,1,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,99,pro_obama,0,'im leav joe barack maryclim caption contest barackobama photo make us smile !',0,2,2,1,0,3,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,90,pro_romney,0,'betka_4_jesu biden lie voter obama mandat cathol via stevenertelt',1,0,2,1,0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,111,pro_obama,0,'mt sandibehrn chines flag bain factori freeport il sensata romney pocket profit still',0,0,1,1,0,6,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,126,pro_obama,0,'mikeepps___ romney becom presid gone start read term amp condit might fuck around amp b',1,2,7,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,123,pro_obama,0,'letat_lechat carri interest capit gain tax deduct benefit romney hell keep mortgag deduct ?',1,1,3,2,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,pro_romney,0,'portag counti tea parti hold romney ryan ralli',0,0,1,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,128,pro_romney,0,'want know govern teacher support probabl romney never say give inform without bia',1,5,6,1,0,4,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
0,137,pro_romney,0,'anhqdc presid clinton feel presid obama throw wife bu still campaign ? ? ?',0,3,6,3,0,4,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,92,pro_obama,0,'triciajjon inamaziarcz word grifter perfect romney obama2012 forwardnotback !',0,0,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,85,pro_obama,0,'compos new tweet lyndsey lohan also support romney didnt use support bush ?',0,1,5,0,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,126,pro_romney,0,'weeklystandard obama amp biden prove dont listen anyon unabl work togeth make terribl leader ! !',2,1,6,2,2,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,74,pro_obama,0,'romney awol gov nytim massachusett governor romney wa often away',0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,126,pro_obama,0,'mikeepps___ romney becom presid gone start read term amp condit might fuck around amp b',1,2,7,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61,pro_romney,0,'chucknelli romney rock ohio momentum tcot! !',0,2,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,68,pro_romney,0,'edwscott addinfoorg obama ha tie compani romney',0,0,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,pro_romney,0,'save america stop obama secular socialist newt gingrich glennbeck rushlimbaugh book tcot',0,0,2,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128,pro_romney,0,'karlrov obama didnt give 716 billion save medicar loot medicar money obamacar joebiden got backwa !',0,2,6,1,0,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,74,pro_romney,0,'fewer qualm gun right group romney san francisco chronicl',1,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,77,pro_obama,0,'sierrabeckham opinion black obama crime appar',2,0,2,2,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,101,pro_obama,0,'good read joan_vennochi massgovernor fail lead hi state promot obama mapoli',1,0,3,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,86,pro_obama,0,'must see video romney bain sell american worker china via youtub sensata!',0,0,4,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,77,pro_obama,0,'rt_com tobacco lord romney made million sell smoke number one foe',1,0,3,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,117,pro_romney,0,'girl sell pastri rais money obama thi might way girl start career polit',0,1,6,3,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,132,pro_romney,0,'keder seem like obama admin angri romney call libya incompet actual event',2,2,4,1,2,4,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,74,pro_obama,0,'thatlittletyg support gay marriag ignor support romney',1,2,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,129,pro_romney,0,'chadowenbrand teach ld movement tonight could get interest believ vote romney !',0,3,6,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,109,pro_romney,0,'mrsvercrous nba star greg anthoni back mitt romney nevada via sharethi awesom black ex obama voter !',0,0,1,0,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,131,pro_romney,0,'arianna8927 today mom church john bolton speak danger obama israel gave romney',1,2,4,1,1,3,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0,78,pro_obama,0,'path2enlighten mitt romney privat profit social loss sensata',1,0,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,101,pro_obama,0,'mtomaski new blog post romney six studi back hi tax plan right via thedailybeast',0,1,1,2,1,5,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0
0,117,pro_obama,0,'metafrant mikkoalann day befor elect romney bain sensata close job sent china',0,0,3,3,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,130,pro_romney,0,'soopermexican think romney respons compani left 12 yr ago obama isnt past 4 yr economi',0,2,4,2,2,4,0,3,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
0,114,pro_romney,0,'juliagulia614 ye obama inherit budget 4 yr ago made wors sorri oblam fire tcot!',2,2,3,2,2,3,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,121,pro_romney,0,'robdelaney fun fact 1 amp job creator amp p 500 nineti one percent sinc obama took offic 91 rt ;P',0,0,2,2,2,6,0,2,0,1,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0
0,69,pro_obama,0,'charact obama america tv ad via youtub obama2012 ohdem ohdem',0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,pro_romney,0,'benlabolt former romney senior aid say romney say anyth close deal',0,0,5,1,2,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,78,pro_obama,0,'docrocktex26 ouch j3283 hmmmm romney attack hi father longtim aid',0,0,2,1,1,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,50,pro_romney,0,'obama lie coal miner 27 state via youtub',1,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,61,pro_obama,0,'pressur american expect obama win second debat bigtweet',0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,85,pro_romney,0,'amber_neckhol dear obama morgan freeman narrat commerci cheat',1,0,4,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,136,pro_obama,0,'pre obama gave hi wife hi speech front world yall girl cant even get yo bf put hi twitter bio',0,2,4,7,0,7,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,74,pro_obama,0,'mitt romney obama ha vote four year im fire amp readi go',0,0,3,1,2,3,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,115,pro_romney,0,'frankacecolwel presid obama ha 15 actor musician hi side mitt romney ha 80m american hi side',0,0,2,2,0,6,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
3,139,pro_romney,0,'today work walk middl republican guy rant import wa romney win elect cowork',1,2,3,5,2,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,110,pro_obama,0,'band make danc stamp make twerk romney becom presid hoe work',0,0,8,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,pro_romney,0,'florida romney 51 obama 47',0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,128,pro_obama,0,'imonsterhook matthewxfam actual true romney ha chang hi word mani time cant even begin say',0,2,6,1,2,3,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
0,129,pro_obama,0,'michaeldollar romney learn hi father fail bid presid becaus georg told truth mitt becam liar hypocr',2,0,3,3,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,pro_romney,0,'dear pre barackobama arent get romney vote amp doubt get candi speak peopl debates!',1,2,6,1,0,4,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,83,pro_romney,0,'obama ga price hypocrisi via sharethi dam media complaint ?',2,0,1,2,1,5,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,80,pro_romney,0,'wegot romney final reveal hi tax plan unbeliev http co xqngyf4t',1,0,1,1,1,2,0,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,58,pro_obama,0,'rossrantsdotcom question aris romney babi toss',0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,98,pro_romney,0,'romney 10840 point beat obama far 25trend elect 2012 analys debat tcot p2 sensata',0,0,1,0,0,5,0,3,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0
2,139,pro_romney,0,'chucktodd well wont get ccrowli co opt town hall debat help obama romney gop et al ought 2 tell fuck',1,4,7,1,0,5,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,99,pro_obama,0,'silvinhouzumaki get f ck romney shirt way tell em realli feel order one at!',0,3,6,1,0,3,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1,130,pro_romney,0,'said obama go come feisti thi next debat mr obama might allow snicker bar thi onc',0,2,7,2,2,3,0,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
0,98,pro_romney,0,'liber much less like say obama lost thi debat even doe see jonathanchait item',1,1,5,1,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,81,pro_romney,0,'bretbaier charles_alvino watch candi obama woman veri bia',1,1,2,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
1,85,pro_romney,0,'like obama becaus black ignor hate romneyryan2012',2,3,3,0,2,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,50,pro_obama,0,'si said romney deserv bu driver uppercut',0,0,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,116,pro_romney,0,'onli thing dont agre obama care mainli reason tweet deal tuition',0,2,6,2,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,106,pro_obama,0,'kozeni_ funni much romney know obama money know next noth hi debate!',1,1,2,1,2,3,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,118,pro_obama,0,'qtiptheabstract wow obama veri presidenti score big time romney doe moxi thi job! !',0,1,5,2,2,3,2,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2,92,pro_obama,0,'sincerelytumblr jealou becaus obama smart sexi mitt romney',1,2,3,0,3,1,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
0,28,pro_obama,0,'space_jams11 obama face lol',0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43,pro_romney,0,'ratchet2english obama fav romney !',0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,127,pro_obama,0,'senjohnmccain mittromney barackobama couldnt disagre potu domin debat romney im fire vote obama',1,0,5,1,1,2,0,2,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
0,131,pro_obama,0,'carolannnolan romney fought speak time fightforjob obama repeat rhetor 2008 hasnt deli !',1,1,7,0,1,3,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
0,131,pro_obama,0,'burniemaccc fuck guy actual think tell women uteru mitt romney dont know shit?',2,3,8,3,0,6,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
